analysis_type,sample_id,treatment_id,plot_id,side,depth_interval_cm,avg_depth_cm,user_sample_id,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,soil_volume(cm^3),Total.Root.Length.mm,RLDcm/cm3,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Root.Length.Diameter.Range.10.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Projected.Area.Diameter.Range.10.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.10.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3,Volume.Diameter.Range.10.mm3,Volume.Diameter.Range.7.mm32,Volume.Diameter.Range.8.mm33,Volume.Diameter.Range.9.mm34,Volume.Diameter.Range.10.mm35,Volume.Diameter.Range.11.mm3
clean roots rhizovision output,02_21E_40_60,2,21,E,40_60,50,21-2_40-60_big.tif,Full,6368,7396,454.3691633,9954.126659,2.19075753,0.743008,2985.633823,0.366332,0.305777,2.51035,18432.46054,1477.52817,11543.04343,4.807,9715.269002,234.334855,4.522801,0,0,0,0,0,0,0,3371.05831,290.589723,9.919865,0,0,0,0,0,0,0,10598.83233,913.046926,31.164175,0,0,0,0,0,0,0,1168.980761,291.386076,17.161333,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_60_80,2,21,E,60_80,70,21-2_60-80_small_028.tif,Full,3437,3978,470.0926683,6007.495247,1.277938511,0.662173,1837.3427,0.364649,0.305777,2.393081,11297.11879,828.3456,6924.101004,2.321,5931.806003,72.128534,3.56071,0,0,0,0,0,0,0,2108.701631,86.163077,7.922789,0,0,0,0,0,0,0,6628.271427,270.9394,24.890177,0,0,0,0,0,0,0,731.35251,83.119747,13.873344,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_80_100,2,21,E,80_100,90,21-2_80-100_029.tif,Full,2202,1081,525.8320995,3361.946652,0.6393574404,0.32154,1099.791846,0.3439,0.341869,1.162353,7079.987382,371.966366,3660.893596,8.75,3359.717217,2.229435,0,0,0,0,0,0,0,0,1162.545741,2.39863,0,0,0,0,0,0,0,0,3653.358079,7.535518,0,0,0,0,0,0,0,0,369.936353,2.030013,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_100_120,2,21,E,100_120,110,21-2_100-120_030.tif,Full,2854,1366,572.8770099,4373.25285,0.7633842473,0.312353,1292.78968,0.315726,0.305777,1.810291,9068.794934,405.714841,4362.113431,10.364,4359.030036,14.222814,0,0,0,0,0,0,0,0,1369.807763,17.793444,0,0,0,0,0,0,0,0,4306.213678,55.899753,0,0,0,0,0,0,0,0,387.72775,17.98709,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_120_140,2,21,E,120_140,130,21-2_120-140_big.tif,Full,1883,1142,471.4137263,3244.336892,0.6882143456,0.351998,1021.031507,0.339396,0.341869,1.209655,6635.553593,343.658318,3481.559241,2.541,3239.447336,4.889555,0,0,0,0,0,0,0,0,1102.620117,5.230885,0,0,0,0,0,0,0,0,3465.12593,16.433311,0,0,0,0,0,0,0,0,339.250194,4.408124,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_140_160,2,21,E,140_160,150,21-2_140-160_small_031.tif,Full,726,463,493.0522584,1401.726705,0.2842957681,0.330307,478.416261,0.37044,0.368204,1.21736,2834.927507,170.928754,1641.498727,1.474,1400.579518,1.147186,0,0,0,0,0,0,0,0,521.073514,1.260521,0,0,0,0,0,0,0,0,1637.538684,3.960043,0,0,0,0,0,0,0,0,169.836421,1.092333,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_160_180,2,21,E,160_180,170,21-2_160-180_big.tif,Full,398,186,478.7834116,567.018838,0.1184290901,0.328031,175.463201,0.330861,0.341869,1.402912,1175.948069,59.485771,598.407423,3.012,564.249285,2.769553,0,0,0,0,0,0,0,0,187.195096,3.237263,0,0,0,0,0,0,0,0,588.237262,10.170161,0,0,0,0,0,0,0,0,56.485676,3.000096,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_21E_180_200,2,21,E,180_200,190,21-2_180-200_small_033.tif,Full,246,113,614.9176465,277.996586,0.04520875073,0.40648,98.907109,0.377593,0.348639,1.709343,589.166061,44.466064,334.77266,1.212,268.392262,9.604324,0,0,0,0,0,0,0,0,94.044929,12.482844,0,0,0,0,0,0,0,0,295.556649,39.216012,0,0,0,0,0,0,0,0,31.341073,13.124991,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_0_20,1,24,E,0_20,10,24-1_0-20_041.tif,Full,19621,17046,414.5252716,26714.50144,6.444601395,0.63808,6926.183431,0.316648,0.273495,2.670079,49507.38068,2973.661459,26651.88951,14.59,26355.88132,346.796673,11.823451,0,0,0,0,0,0,0,8017.300446,435.236222,25.824258,0,0,0,0,0,0,0,25202.49151,1368.268701,81.129298,0,0,0,0,0,0,0,2484.83035,444.262469,44.56864,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_20_40,1,24,E,20_40,30,24-1_20-40_042.tif,Full,2697,1393,344.4608311,4468.658887,1.297290863,0.311727,1254.378982,0.310652,0.281912,1.900986,8916.081133,422.699367,4385.557585,9.399,4452.786809,15.872079,0,0,0,0,0,0,0,0,1374.875271,20.346794,0,0,0,0,0,0,0,0,4321.636246,63.921339,0,0,0,0,0,0,0,0,401.438394,21.260974,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_40_60,1,24,E,40_60,50,24-1_40-60_big.tif,Full,2739,1841,388.2006047,3969.840685,1.022626095,0.463747,1240.061895,0.34876,0.305777,1.851149,7987.665926,497.799738,4369.787368,2.772,3913.967574,55.873111,0,0,0,0,0,0,0,0,1322.643366,67.734288,0,0,0,0,0,0,0,0,4156.838222,212.949146,0,0,0,0,0,0,0,0,431.611643,66.188095,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_60_80,1,24,E,60_80,70,24-1_60-80_small_040.tif,Full,697,248,419.3391203,768.905844,0.1833613433,0.322536,217.86749,0.289969,0.281912,1.009526,1671.939827,59.838933,706.108048,1.01,768.871657,0.034187,0,0,0,0,0,0,0,0,224.624183,0.034513,0,0,0,0,0,0,0,0,705.999624,0.108424,0,0,0,0,0,0,0,0,59.811569,0.027364,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_80_100,1,24,E,80_100,90,24-1_80-100_small_043.tif,Full,46,9,518.7303765,78.196372,0.01507456967,0.115095,21.821578,0.299996,0.341869,0.58017,168.722644,6.506579,73.565214,0.95,78.196372,0,0,0,0,0,0,0,0,0,23.416535,0,0,0,0,0,0,0,0,0,73.565214,0,0,0,0,0,0,0,0,0,6.506579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_100_120,1,24,E,100_120,110,24-1_100-120_044.tif,Full,6361,1241,515.0092437,5878.948023,1.141522816,0.211092,1401.075942,0.248201,0.246525,1.247703,12573.86658,341.989489,4629.694904,9.597,5876.17847,2.769553,0,0,0,0,0,0,0,0,1470.239782,3.011824,0,0,0,0,0,0,0,0,4620.232982,9.461923,0,0,0,0,0,0,0,0,339.40625,2.583239,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_120_140,1,24,E,120_140,130,24-1_120-140_045.tif,Full,1157,155,299.8583413,714.732649,0.2383567674,0.216864,160.939247,0.220511,0.205121,0.820485,1647.590822,35.213421,508.3959,9.43,714.732649,0,0,0,0,0,0,0,0,0,161.781161,0,0,0,0,0,0,0,0,0,508.3959,0,0,0,0,0,0,0,0,0,35.213421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_140_160,1,24,E,140_160,150,24-1_140-160_big.tif,Full,547,267,453.3706736,592.658469,0.1307227184,0.450512,187.100363,0.336282,0.305777,1.891124,1293.811656,72.52367,634.618129,2.331,585.450072,7.208397,0,0,0,0,0,0,0,0,192.384246,9.56152,0,0,0,0,0,0,0,0,604.579727,30.038401,0,0,0,0,0,0,0,0,62.287292,10.236378,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_160_180,1,24,E,160_180,170,24-1_160-180_small_046.tif,Full,337,201,450.5762563,207.886917,0.04613800974,0.966872,51.229458,0.268329,0.246525,1.09398,477.902379,16.897329,180.548104,1.673,207.625153,0.261764,0,0,0,0,0,0,0,0,57.131363,0.275686,0,0,0,0,0,0,0,0,179.682012,0.866092,0,0,0,0,0,0,0,0,16.668828,0.228501,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_24E_180_200,1,24,E,180_200,190,24-1_180-200_047.tif,Full,490,161,507.6222688,624.030078,0.1229319745,0.258,188.956325,0.313627,0.305777,1.160341,1352.479349,57.898489,621.727922,8.033,622.820383,1.209695,0,0,0,0,0,0,0,0,196.537375,1.301778,0,0,0,0,0,0,0,0,617.638267,4.089655,0,0,0,0,0,0,0,0,56.79678,1.101708,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_28E_0_20,1,28,E,0_20,10,28-1_0-20_002.tif,Full,15274,11134,547.8692976,19929.92093,3.637714509,0.558658,5393.503659,0.328067,0.281912,2.171875,37257.41787,2318.196656,20587.88389,13.7,19679.50065,248.180119,2.24016,0,0,0,0,0,0,0,6247.908239,298.16023,4.676838,0,0,0,0,0,0,0,19636.21989,936.97128,14.692719,0,0,0,0,0,0,0,2021.836768,288.687558,7.67233,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_28E_20_40,1,28,E,20_40,30,28-1_20-40_003.tif,Full,4520,2342,535.7799963,6548.686125,1.222271487,0.357629,1851.128009,0.315731,0.290085,1.806413,13145.53729,635.713419,6506.798586,8.819,6505.388576,43.297549,0,0,0,0,0,0,0,0,2019.05548,51.277573,0,0,0,0,0,0,0,0,6345.705339,161.093246,0,0,0,0,0,0,0,0,587.120535,48.592884,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_28E_40_60,1,28,E,40_60,50,28-1_40-60_004.tif,Full,3428,1680,366.1178285,4266.11777,1.165230819,0.393801,1248.972382,0.309986,0.290085,1.914464,9017.757047,393.035356,4185.59035,9.313,4253.63932,12.47845,0,0,0,0,0,0,0,0,1314.130737,17.515573,0,0,0,0,0,0,0,0,4130.563554,55.026795,0,0,0,0,0,0,0,0,372.236968,20.798388,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_28E_60_80,1,28,E,60_80,70,28-1_60-80_005.tif,Full,1929,748,558.5542962,2083.96997,0.3731006966,0.35893,613.090375,0.306529,0.290085,1.369183,4519.798526,189.254739,2026.762699,8.398,2074.861859,9.108111,0,0,0,0,0,0,0,0,634.212016,10.578304,0,0,0,0,0,0,0,0,1993.529976,33.232724,0,0,0,0,0,0,0,0,179.540884,9.713855,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,01_28E_80_100,1,28,E,80_100,90,28-1_80-100_001.tif,Full,2133,447,514.2380915,1326.342498,0.2579238139,0.337017,401.542271,0.296019,0.281912,1.21736,3198.818321,118.075757,1254.618172,8.68,1322.272421,4.070077,0,0,0,0,0,0,0,0,394.843107,4.385338,0,0,0,0,0,0,0,0,1240.841227,13.776945,0,0,0,0,0,0,0,0,114.355123,3.720634,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_57E_0_20,2,57,E,0_20,10,2-57_0-20_012.tif,Full,15906,25623,440.4316113,34624.58716,7.861512724,0.740023,9142.826077,0.338308,0.290085,2.594601,59748.23471,4119.484843,36727.01495,13.977,34176.65133,434.935873,12.999965,0,0,0,0,0,0,0,11123.17162,531.629323,29.067382,0,0,0,0,0,0,0,34965.31108,1670.385993,91.317874,0,0,0,0,0,0,0,3543.927605,524.212448,51.34479,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_57E_20_40,2,57,E,20_40,30,2-57_20-40_013.tif,Full,9410,3658,528.3500211,9628.176917,1.822310312,0.379927,2459.783009,0.279722,0.273495,1.955536,19685.27431,717.102779,8524.053107,14.11,9617.973403,10.203514,0,0,0,0,0,0,0,0,2699.29226,12.679082,0,0,0,0,0,0,0,0,8484.220596,39.83251,0,0,0,0,0,0,0,0,704.176612,12.926168,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_57E_40_60,2,57,E,40_60,50,2-57_40-60_015.tif,Full,5451,2667,571.2017005,7980.987475,1.397227541,0.334169,2143.35085,0.296089,0.281912,1.375995,16062.48893,651.07138,7456.182557,12.524,7971.545791,9.441685,0,0,0,0,0,0,0,0,2361.932486,10.405291,0,0,0,0,0,0,0,0,7423.365125,32.817432,0,0,0,0,0,0,0,0,641.933764,9.137616,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_57E_60_80,2,57,E,60_80,70,2-57_60-80_014.tif,Full,3097,1269,594.4592614,4598.364368,0.7735373416,0.275968,1291.784562,0.29836,0.290085,1.104611,9570.279951,367.061151,4339.388298,15.023,4596.716109,1.648258,0,0,0,0,0,0,0,0,1378.718013,1.739518,0,0,0,0,0,0,0,0,4333.923442,5.464856,0,0,0,0,0,0,0,0,365.618196,1.442955,0,0,0,0,0,0,0,0,0,0,0,0,0
clean roots rhizovision output,02_57E_80_100,2,57,E,80_100,90,2-57_80-100_011.tif,Full,1074,448,270.3886771,1358.513042,0.5024297085,0.329772,419.069891,0.326302,0.305777,1.369183,2900.236151,132.729725,1403.79829,11.258,1356.202079,2.310963,0,0,0,0,0,0,0,0,443.938765,2.677577,0,0,0,0,0,0,0,0,1395.386433,8.411857,0,0,0,0,0,0,0,0,130.274335,2.45539,0,0,0,0,0,0,0,0,0,0,0,0,0
